SNO,State,City,Name,Type,WeeklyOff,Significance,visiting_time,Review,visiting_hrs,rating,fee
0,Delhi,Delhi,IndiaGate,WarMemorial,no,Historical,Evening,2.6,0.5,4.6,0
1,Delhi,Delhi,Humayuns Tomb,Tomb,no,Historical,Afternoon,0.4,2,4.5,30
2,Delhi,Delhi,Akshardham Temple,Temple,no,Religious,Afternoon,0.4,5,4.6,60
3,Delhi,Delhi,Waste to Wonder Park,Theme Park,Monday,Environmental,Evening,0.27,2,4.1,50
4,Delhi,Delhi,Jantar Mantar,Observatory,no,Scientific,Morning,0.31,2,4.2,15
5,Delhi,Delhi,Chandni Chowk,Market,Sunday,Market,Afternoon,0.25,3,4.2,0
6,Delhi,Delhi,Lotus Temple,Temple,Monday,Religious,Evening,0.59,1,4.5,0
7,Delhi,Delhi,Red Fort,Fort,no,Historical,Afternoon,1.5,2,4.5,35
8,Delhi,Delhi,Agrasen ki Baoli,Stepwell,no,Historical,Afternoon,0.41,1,4.2,0
9,Delhi,Delhi,Sunder Nursery,Park,no,Botanical,Afternoon,0.16,2,4.6,0
10,Delhi,Delhi,Garden of Five Senses,Park,no,Botanical,Morning,0.23,2,4.1,35
11,Delhi,Delhi,Lodhi Garden,Park,no,Botanical,All,0.48,1,4.5,0
12,Delhi,Delhi,National Gallery of Modern Art,Museum,Monday,Artistic,All,0.08,3,4.5,20
13,Delhi,Delhi,National Zoological Park ,Zoo,Friday,Environmental,All,0.41,3,4.1,80
14,Delhi,Delhi,Qutub Minar,Monument,no,Historical,Afternoon,1.37,1,4.5,35
15,Delhi,Delhi,National Science Centre,Science,no,Scientific,All,0.23,5,4.4,70
16,Maharastra,Mumbai,Marine Drive,Promenade,no,Scenic,Evening,1.5,2,4.5,0
17,Maharastra,Mumbai,Gateway of India,Monument,no,Historical,All,3.6,1,4.6,0
18,Maharastra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Museum,no,Historical,All,0.34,1,4.6,500
19,Maharastra,Mumbai,Sanjay Gandhi National Park,National Park,Monday,Wildlife,All,0.6,3,4.3,50
20,Maharastra,Mumbai,Siddhivinayak Temple,Temple,no,Religious,All,1.05,2,4.8,0
21,Maharastra,Mumbai,Mahalaxmi Temple,Temple,no,Religious,All,0.33,1,4.7,0
22,Maharastra,Mumbai,Haji Ali Dargah,Religious Shrine,no,Religious,All,0.16,2,4.4,0
23,Maharastra,Mumbai,Chowpatty Beach,Beach,no,Recreational,Evening,0.05,2,4.3,0
24,Maharastra,Mumbai,Essel World,Amusement Park,no,Recreational,All,0.27,5,4.3,1149
25,Maharastra,Mumbai,Elephanta Caves,Monument,no,Historical,All ,0.35,4,4.3,550
26,Maharastra,Lonavala,Imagicaa,Amusement Park,Monday,Recreational,All,0.95,5,1.4,1149
27,Karnataka,Bangalore,Bangalore Palace,Palace,Monday,Historical,Morning,0.9,2,4.2,500
28,Karnataka,Bangalore,Lalbagh Botanical Garden,Botanical Garden,no,Nature,Evening,1.5,1.5,4.4,20
29,Karnataka,Bangalore,Cubbon Park,Park,no,Nature,Morning,1.32,1,4.4,0
30,Karnataka,Bangalore,Vidhana Soudha,Government Building,no,Architectural,Morning,0.8,0.5,4.6,0
31,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,no,Religious,Evening,1.14,1,4.6,0
32,Telangana,Hyderabad,Charminar,Landmark,Friday,Historical,Morning,2.1,1,4.5,25
33,Telangana,Hyderabad,Golconda Fort,Fort,no,Historical,Morning,1.2,2,4.4,30
34,Telangana,Hyderabad,Hussain Sagar Lake,Lake,no,Scenic,Evening,0.5,1,4.3,0
35,Telangana,Hyderabad,Ramoji Film City,Film Studio,no,Entertainment,All,0.45,4,4.4,1150
36,Telangana,Hyderabad,Salar Jung Museum,Museum,no,Historical,All,0.67,2,4.4,20
37,Telangana,Hyderabad,Qutb Shahi Tombs,Tombs,no,Historical,Morning,0.2,1,4.4,25
38,Telangana,Hyderabad,Birla Mandir,Temple,no,Religious,All,0.41,1,4.7,0
39,Telangana,Hyderabad,Chowmahalla Palace,Palace,no,Historical,Morning,0.45,1.5,4.4,80
40,Telangana,Hyderabad,Nehru Zoological Park,Zoo,no,Wildlife,Morning,0.86,3,4.2,50
41,Telangana,Hyderabad,Lumbini Park,Park,no,Recreational,Evening,0.73,1,4.1,20
42,West Bengal,Kolkata,Victoria Memorial,Museum,Monday,Historical,Morning,0.73,1.5,4.6,30
43,West Bengal,Kolkata,Howrah Bridge,Bridge,no,Architectural,Anytime,1.2,0.5,4.6,0
44,West Bengal,Kolkata,Indian Museum,Museum,Monday,Historical,Morning,0.18,2,4.6,50
45,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,no,Religious,Morning,0.82,1,4.7,0
46,West Bengal,Kolkata,Kalighat Kali Temple,Temple,no,Religious,Morning,0.5,1,4.4,0
47,West Bengal,Kolkata,Eden Gardens,Cricket Ground,no,Sports,All,0.1,3,4.1,2500
48,West Bengal,Kolkata,Alipore Zoological Gardens,Zoo,no,Wildlife,Afternoon,0.66,2,4.3,25
49,West Bengal,Kolkata,Science City Kolkata,Science,no,Educational,All,0.88,3,4.4,60
50,West Bengal,Kolkata,Belur Math,Site,no,Religious,Morning,0.47,1.5,4.7,0
51,West Bengal,Kolkata,Marble Palace,Palace,no,Historical,Afternoon,0.1,1,4.4,0
52,Goa,Goa,Calangute Beach,Beach,no,Scenic,Evening,0.26,2,4.4,0
53,Goa,Goa,Basilica of Bom Jesus,Church,no,Historical,Afternoon,0.59,1,4.5,0
54,Goa,Goa,Fort Aguada,Fort,no,Historical,Morning,0.95,1.5,4.2,0
55,Goa,Goa,Dudhsagar Falls,Waterfall,no,Nature,Afternoon,0.3,3,4.6,500
56,Goa,Goa,Anjuna Beach,Beach,no,Scenic,Evening,0.18,2,4.4,0
57,Goa,Goa,Chapora Fort,Fort,no,Historical,Evening,0.19,1,4.2,0
58,Goa,Goa,Se Cathedral,Church,no,Historical,Afternoon,0.05,1,4.5,0
59,Goa,Goa,Baga Beach,Beach,no,Scenic,Evening,0.35,2,4.5,0
60,Goa,Goa,Arambol Beach,Beach,no,Scenic,Evening,0.1,2,4.6,0
61,Goa,Goa,Palolem Beach,Beach,no,Scenic,Evening,0.27,2,4.6,0
62,Goa,Goa,Colva Beach,Beach,no,Scenic,Evening,0.1,2,4.3,0
63,Goa,Goa,Miramar Beach,Beach,no,Scenic,Evening,0.3,1.5,4.2,0
64,Goa,Goa,Aguada Beach,Beach,no,Scenic,Evening,0.01,2,4.5,0
65,Goa,Goa,Dr. Salim Ali Bird Santuary,Bird Sanctuary,no,Wildlife,Afternoon,0.03,2,3.9,10
66,Gujarat,Ahmedabad,Sabarmati Ashram,Historical,no,Historical,Morning,0.35,1.5,4.6,0
67,Gujarat,Dwarka,Dwarkadhish Temple,Temple,no,Religious,Evening,0.59,2,4.7,0
68,Gujarat,Junagadh,Gir National Park,National Park,no,Wildlife,Morning,0.08,3,4.5,3500
69,Gujarat,Bhuj,White Desert,Site,no,Nature,Evening,0.12,2.5,4.6,0
70,Gujarat,Vadodara,Laxmi Vilas Palace,Palace,Monday,Historical,Afternoon,0.17,2,4.4,200
71,Gujarat,Somnath,Somnath Temple,Temple,no,Religious,Morning,0.39,2,4.8,0
72,Gujarat,Rann of Kutch,Rann Utsav,Cultural,no,Cultural,Evening,0.1,3,4.9,7500
73,Gujarat,Kevadia,Statue of Unity,Monument,Monday,Historical,All,0.67,3,4.6,350
74,Gujarat,Gandhinagar,Dandi Kutir,Museum,no,Historical,All,0.05,1.5,4.5,0
75,Gujarat,Ahmedabad,Sabarmati Riverfront,Urban Development Project,no,Recreational,Evening,0.1,1,4.6,0
76,Gujarat,Ahmedabad,Manek Chowk,Market,no,Food,Night,0.49,2,4.4,0
77,Gujarat,Ahmedabad,Kankaria Lake,Lake,no,Recreational,Afternoon,0.3,3,4.5,10
78,Gujarat,Ahmedabad,Science City,Science,Monday,Educational,All,0.11,7,4.4,500
79,Rajasthan,Jaipur,Hawa Mahal,Palace,no,Architectural,Morning,1.3,1,4.4,50
80,Rajasthan,Udaipur,City Palace,Palace,no,Historical,All,0.51,2,4.4,300
81,Rajasthan,Jaisalmer,Jaisalmer Fort,Fort,no,Historical,All,0.56,2.5,4.4,50
82,Rajasthan,Sawai Madhopur,Ranthambore National Park,Wildlife Sanctuary,no,Wildlife,All,0.09,3,4.6,500
83,Rajasthan,Pushkar,Pushkar Lake,Temple,no,Religious,All,1.6,1.5,4.4,0
84,Rajasthan,Ajmer,Ajmer Sharif Dargah,Shrine,no,Religious,All,0.35,1,4.6,0
85,Rajasthan,Jodhpur,Mehrangarh Fort,Fort,no,Historical,All,0.64,2,4.6,100
86,Rajasthan,Chittorgarh,Chittorgarh Fort,Fort,no,Historical,All,1.9,2,4.6,40
87,Rajasthan,Mount Abu,Dilwara Temples,Temple,no,Religious,All,0.05,1,4.6,0
88,Rajasthan,Bikaner,Junagarh Fort,Fort,no,Historical,All,0.32,2,4.5,50
89,Rajasthan,Jaipur,Amber Fort,Fort,no,Historical,All,1.5,2,4.6,100
90,Rajasthan,Jaipur,Jaigarh Fort,Fort,no,Historical,All,0.3,1.5,4.5,35
91,Rajasthan,Udaipur,Lake Pichola,Lake,no,Nature,All,0.5,1,4.6,0
92,Punjab,Amritsar,Golden Temple ,Religious Site,no,Spiritual,All,1.9,1.5,4.9,0
93,Punjab,Amritsar,Jallianwala Bagh,Memorial,no,Historical,Afternoon,0.3,1,4.8,0
94,Punjab,Amritsar,Wagah Border,Border Crossing,no,Cultural,Evening,0.17,2,4.8,0
95,Punjab,Chandigarh,Rock Garden,Sculpture Garden,no,Artistic,All,0.5,2,4.5,30
96,Kerala,Alappuzha,Alappuzha Beach,Beach,no,Recreational,All,0.11,1.5,4.5,0
97,Kerala,Munnar,Munnar Tea Gardens,Scenic Area,no,Nature,All,0.3,2,4.3,0
98,Kerala,Kochi,Fort Kochi,Site,no,Historical,All,0.1,1,4.4,0
99,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,Temple,no,Religious,All,0.46,1,4.7,0
100,Kerala,Kozhikode,Kozhikode Beach,Beach,no,Recreational,All,0.059,1.5,3.9,0
101,Kerala,Wayanad,Wayanad Wildlife Sanctuary,Wildlife Sanctuary,no,Wildlife,All,2.2,3,4.5,300
